number,school
7203,DanEl Christian College
1160,Danville Area  Community College
1165,DePaul University
1991,DeVry Institute of  Technology Calgary
6524,DeVry University
3204,DeVry University  Addison Campus
1171,DeVry University Chica
77,DeVry University  Corporate Office
3816,DeVry University Online
6180,DeVry University
2818,DeVry University  Tinley Park
1667,Dominican  University Illinois
798,East-West University
1199,Eastern Illinois Universi
1203,Elgin Community Colle
4907,Ellis University
1204,Elmhurst College
1206,Eureka College
2670,Fox College
808,Gem City College
5205,George Pullman
807,Governors State  University
1256,Greenville College
1089,Harold Washington  College (Loop)
940,Harrington College  of Design
1111,Harry S Truman College
1361,Heartland Community  College
817,Hebrew Theological  College
1233,Highland Community  College
1312,Illinois Central College
1315,Illinois College
1317,Illinois College  of Optometry
1894,Illinois Eastern  Community College  Frontier
758,Illinois Eastern  Community College  Lincoln Trail
827,Illinois Eastern  Community College  Olney Central
1936,Illinois Eastern  Community College  Wabash Valley
2908,Illinois Institute  of Art Chicago
3043,Illinois Institute of  Art Schaumburg
1318,Illinois Institute  Technology
1319,Illinois State University
1397,Illinois Valley  Community College
1320,Illinois Wesleyan  University
1357,John A. Logan College
1374,John Wood  Community College
1346,Joliet Junior College
1351,Judson University
1380,Kankakee Community  College
1108,Kaskaskia College
1366,Kendall College
1910,Kennedy-King College
511,Kishwaukee College
1372,Knox College
1392,Lake Forest College
1424,Lake Land College
149,Lakeview College  of Nursing
623,Lewis and Clark  Community College
1404,Lewis University
1405,Lincoln Christian  University
1406,Lincoln College
1428,Lincoln Land  Community College
3055,Lincoln Technical  Institute Melrose Pak
6781,Lindenwood University
1412,Loyola University  Chicago
1520,MacCormac College
1435,MacMurray College
1144,Malcolm X Chicago  City College
1525,McHenry County College
1456,McKendree University
1503,Methodist College  of Nursing
3329,Midstate College Peoria
3788,Midwestern University
1470,Millikin University
1484,Monmouth  College Illinois
1486,Moody Bible Institute
1524,Moraine Valley  Community College
1269,Morrison Institute  of Technology
7296,Morthland College
1489,Morton College
1567,National University  of Health Sciences
1551,National-Louis University
9360,Navy Recruiting District
1555,North Central College
1556,North Park University
1090,Northeastern Illinois  University
1559,Northern Illinois  University
2433,Northwestern  Business College
1565,Northwestern University
6456,Northwestern  University School  Continuing Studies
1573,Oakton Community  College
1584,Olive-Harvey College
1596,Olivet Nazarene  University
482,Pacific Oaks College
1619,Parkland College
1077,Prairie State College
1630,Principia College
1645,Quincy University Illinois
5753,Rasmussen College
1673,Rend Lake College
1927,Resurrection University
1093,Richard J. Daley College
738,Richland Community  College
1670,Robert Morris University
1674,Rock Valley College
2459,Rockford Career College
1665,Rockford University
1666,Roosevelt University
768,Rosalind Franklin  University Medicine  and Science
3923,Saint Anthony  College of Nursing
697,Saint Augustine College
1756,Saint Francis Medical  Center College of Nursing
1755,Saint Joseph College  Loyola University
1708,Saint Xavier University
1780,Sauk Valley Community College
1713,School of the Art Institute of Chicago
882,Shawnee Community College
1717,Shimer College
1806,South Suburban College
1777,Southeastern Illinois College
1726,Southern Illinois University Carbondale
1759,Southern Illinois University Edwardsville
1057,Southwestern Illinois College
1128,Spertus College
1154,Spoon River College
4037,Swiss Benevolent Society
2488,Taylor Business Institute Illinois
7009,Telshe Yeshiva Chicago
7300,Tribeca Flashpoint College
1820,Trinity Christian College
2555,Trinity College of Nursing and Health Sciences
1810,Trinity International University
1821,Triton College
155,University of St. Francis College Nursing and Allied Health
1832,University of Chicago
1851,University of Illinois Chicago
834,University of Illinois Springfield
1836,University of Illinois Urbana/Champaign
1130,University of Saint Francis
1872,Vandercook College of Music
3640,Vatterott College Quincy
1938,Waubonsee Community College
1900,Western Illinois University
1905,Wheaton College
1925,Wilbur Wright College
1932,William Rainey Harper College Indiana
7269,American College of Education
1015,Ancilla College
1016,Anderson University
7891,Art Institute of Indianapolis International Culinary School
3192,Aviation Institute of Maintenance
1051,Ball State University
1079,Bethel College Indiana
3379,Brown Mackie College Fort Wayne
1073,Butler University
1776,Calumet College Saint Joseph
7906,Chamberlain College of Nursing
3532,College of Court Reporting
7115,Commonwealth Business College
3811,Crossroads Bible College
1166,DePauw University
1195,Earlham College and Earlham School of Religion
5764,Fairhaven Baptist College
1228,Franklin College
1251,Goshen College
1252,Grace College
1290,Hanover College
6344,Harrison College
3346,Harrison College  Evansville
1309,Holy Cross College
1304,Huntington University
5731,"Indiana Academy for  Science, Mathematics,  and Humanities"
4476,Indiana Baptist College
2317,Indiana Business College
3364,Indiana Business  College Anderson
3349,Indiana Business  College Columbus
3370,Indiana Business College  Indianapolis Medical
3353,Indiana Business  College Lafayette
3348,Indiana Business  College Terre Haute
1323,Indiana Institute  of Technology
1322,Indiana State University
1324,Indiana University  Bloomington
1194,Indiana University East
1338,Indiana University Gary
1337,Indiana University  Kokomo
1314,Indiana University  New Albany
4216,Indiana University  Purdue University  Columbus
1336,Indiana University  Purdue University  Fort Wayne
1325,Indiana University  Purdue University  Indianapolis
1339,Indiana University  South Bend
1446,Indiana Wesleyan  University
1330,International  Business College
3374,International Business  College Indianapolis
3825,Ivy Tech Community  College
1455,Ivy Tech Community  College Bloomington
1286,Ivy Tech Community  College Columbus
1277,Ivy Tech Community  College Evansville
1278,Ivy Tech Community  College Fort Wayne
1281,Ivy Tech Community  College Gary
1311,Ivy Tech Community  College Indianapolis
1329,Ivy Tech Community  College Kokomo
1282,Ivy Tech Community  College Lafayette
1334,Ivy Tech Community  College Madison
1279,Ivy Tech Community  College Muncie
1283,Ivy Tech Community  College Richmond
1273,Ivy Tech Community  College Sellersburg
1280,Ivy Tech Community  College South Bend
1284,Ivy Tech Community  College Terre Haute
2461,Kaplan College
3058,Lincoln Technical  Institute Indiana
1440,Manchester University
1442,Marian University
1379,Martin University
644,Mid-America College  Funeral Service
9346,Navy Recruiting  District Indy North
1585,Oakland City University
7700,Professional Careers  Institute
1640,Purdue University  North Central Campus
1638,Purdue University  Northwest
1631,Purdue University  West Lafayette
1668,Rose-Hulman Institute  of Technology
1761,Saint Elizabeth  School of Nursing
1697,Saint Joseph’s College
1704,Saint Mary-Woods  College
1702,Saint Mary’s  College Indiana
1802,Taylor University  Upland Campus
1811,Trine University
5958,Trinity College of the  Bible Theological  Seminary
2850,Union Bible College
1208,University of Evansville
1321,University of Indianapolis
1841,University of Notre Dame
1335,University of  Southern Indiana
1693,University of St. Francis
1874,Valparaiso University
1877,Vincennes University
1895,Wabash College Iowa
7302,AIB College of Business
3610,Allen College
6046,Briar Cliff University
6047,Buena Vista University
6087,Central College of Iowa
6099,Clarke University
6100,Clinton Community  College
6101,Coe College
6119,Cornell College
6177,Des Moines Area  Community College  Ankeny
6044,Des Moines Area  Community  College Boone
6174,Divine Word College
6171,Dordt College
6168,Drake University
5528,Ellsworth Community  College
1215,Emmaus Bible College
6214,Faith Baptist Bible  College & Theological  Seminary
6249,Graceland University
6251,Grand View University
6252,Grinnell College
1588,Hamilton Technical  College
6288,Hawkeye Community  College
6083,Indian Hills Community  College Centerville
6312,Indian Hills Community  College Ottumwa
6217,Iowa Central Community  College Fort Dodge
6932,Iowa Central Community  College Webster City
6195,Iowa Lakes Community  College Emmetsburg
6196,Iowa Lakes Community  College Estherville
6306,Iowa State University
6308,Iowa Wesleyan College
6098,Iowa Western  Community College  Clarinda
6302,Iowa Western Community College Council Bluffs
3388,Kaplan University
6027,Kirkwood Community College
6370,Loras College
6375,Luther College
4497,Maharishi University of Management
6394,Marshalltown Community College
2803,Mercy College of Health Sciences
6415,Morningside College
6417,Mount Mercy Universit
6422,Muscatine Community College
6400,North Iowa Area Community College
6754,Northeast Iowa Community College
1359,Northwest Iowa Community College
6490,Northwestern College Iowa
6593,Palmer College of Chiropractic
6617,Saint Ambrose Universi
3625,Saint Luke’s College
282,Scott Community Colle
7362,Shiloh University
6650,Simpson College Iowa
6048,Southeastern Communi College North
6340,Southeastern Communi College South
6122,Southwestern Community College
6869,University of Dubuque
6681,University of Iowa
6307,University of Northern Iowa
6885,Upper Iowa University
2909,Vatterott College Des Moines
6925,Waldorf University
6926,Wartburg College
6950,Western Iowa Technical Community College
6943,William Penn University Kansas
6305,Allen County Community College
6031,Baker University
6228,Barclay College
784,Barton County Community College
6056,Benedictine College
6034,Bethany College Kansa
6037,Bethel College Kansas
3366,Brown Mackie College
5979,Brown Mackie College Kansas City
6191,Butler Community College Kansas
6088,Central Christian College of Kansas
6659,Cleveland University Kansas City
6137,Cloud County Community College
6102,Coffeyville Community College Area Technical School
6129,Colby Community College
6008,Cowley County Community College
6166,Dodge City Community College
6167,Donnelly College
6335,Emporia State Universit
6232,Flint Hills Technical College
6218,Fort Hays State University
6219,Fort Scott Community College
6224,Friends University
6246,Garden City Community College
919,Haskell Indian Nations
6274,Hesston College
6276,Highland Community College
6281,Hutchinson Community College
6304,Independence Community College
6325,Johnson County Community College
5937,Kansas City College Bible School
6333,Kansas City Kansas Community College
6334,Kansas State University Manhattan
1172,Kansas State University Polytechnic
6337,Kansas Wesleyan University
6576,Labette Community College
6392,Manhattan Christian College
6404,McPherson College
6437,Mid-America Nazarene University
2616,NCK Technical College Neosho County
6093,Community College
6615,Newman University
6547,Ottawa University
6336,Pittsburg State University
6581,Pratt Community College
7938,Rasmussen College Overland Park Campus
7939,Rasmussen College Topeka Campus
6690,Saint Mary’s College
286,Seward County Community College
6670,Southwestern College
6684,Sterling College
6815,Tabor College
6871,University of Kansas
414,University of Kansas Medical Center
6630,University of Saint Mary Leavenworth
3638,Vatterott College Wichita
6928,Washburn University
6884,Wichita State University Kentucky
5801,AARTS Office United States Army
1098,Alice Lloyd College
1019,Asbury University
611,Ashland Comm & Tech College
703,Ashland Community and Technical College
3404,Beckfield College
1056,Bellarmine University
1060,Berea College
869,Big Sandy Community and Technical College
645,Bluegrass Community and Technical College
1968,Bowling Green Technical College
3858,Boyce College
1071,Brescia University
5375,Brown Mackie College Hopkinsville
305,Brown Mackie College Louisville
3419,Brown Mackie College North Kentucky
1097,Campbellsville University
1109,Centre College
5975,Clear Creek  Baptist College
4960,Commonwealth  Baptist College
3407,Daymar College  Louisville
772,Daymar College  Owensboro
3399,Draughons Junior College
1200,Eastern Kentucky  University
1211,Elizabethtown  Community and  Technical College
3980,Frontier Nursing  University
5739,Galen College of Nursing
596,Gateway Community  and Technical  College Covington
594,Gateway Community  and Technical  College Edgewood
1249,Georgetown College
1977,Glasgow Health  Technology Center
1870,Harlan Regional  Technology Center
815,Hazard Community  & Tech College
1896,Hazard Regional  Technology Center
1307,Henderson  Community College
1274,Hopkinsville  Community College
3994,Interservice Physician  Assistant Program
1328,Jefferson Community  and Technical College
2207,Kentucky Advanced  Technology Center
1377,Kentucky Christian  University
1384,Kentucky Mountain  Bible College
1368,Kentucky State  University
736,Kentucky Tech  Jefferson Campus
1903,Kentucky Tech Laurel  County Campus
1369,Kentucky Wesleyan  College
1409,Lindsey Wilson College
4254,Louisville Bible College
1606,Madisonville  Community College
2386,Madisonville Health  Technology Center
2408,Madisonville Regional  Technology Center
657,Mayo Regional  Technology Center
693,Maysville Community  College
254,Mid-Continent University
1467,Midway College
1487,Morehead State  University
1494,Murray State University
3413,National College  Business Technology  Danville
3408,National College  Business Technology  Florence
3415,National College  Business Technology  Louisville
3412,National College  Business Technology  Pikeville
3414,National College  Business Technology  Richmond
987,National College of Business & Tech Lexington
1574,Northern Kentucky University
613,Owensboro Community and Technical College
2330,Owensboro Technical College
669,Paducah Tech College
707,Rowan Technical College
1779,Somerset Community College
1770,Southeast Kentucky Community and Technical College
2437,Southeast Tech
1552,Spalding University
3424,Spencerian College Lexington
3422,Spencerian College Louisville
1501,Sullivan College of Technology and Design
811,Sullivan University
1876,Thomas More College
1808,Transylvania University
1825,Union College
1837,University of Kentucky Lexington
1838,University of Louisville
1625,University of Pikeville
1145,University of the Cumberlands
1620,Western Kentucky Community and Technical College
1901,Western Kentucky University Louisiana
6023,Baton Rouge Community College
3197,Baton Rouge School of Computers
787,Bossier Parish Community College
3427,Camelot College
6082,Centenary College of Louisiana
6125,Charity Hospital
6176,Delgado Community College
3131,Delta College of Arts and Technology
2252,Delta Tech
6164,Dillard University
3428,Remington College Baton Rouge
3429,Remington College Lafayette
7872,Fletcher Technical Community College
6250,Grambling State University
3430,Herzing College
6371,Louisiana College
3992,Louisiana Delta Community College
1632,Louisiana State University Alexandria
6373,Louisiana State University Baton Rouge
6386,Louisiana State University Eunice
6355,Louisiana State University Shreveport
6372,Louisiana Tech University
4633,Louisiana Technical College
6374,Loyola University New Orleans
6403,McNeese State University
9357,Navy Recruiting District New Orleans
5034,New Orleans Baptist Theological Seminary
6472,New Orleans Baptist Theological Seminary
6221,Nicholls State University
6492,Northwestern State University
295,Nunez Community College
6002,Our Lady of Holy Cross College
3928,Our Lady of the Lake College
7805,River Parishes Community College
6689,Saint Joseph Seminary College
4521,South Louisiana Community College
6656,Southeastern Louisiana University
6663,Southern University Agricultural and Mechanical College
322,Southern University at Shreveport
1647,Southern University New Orleans
6803,Sowela Technical Community College
6832,Tulane University
8012,University New Orleans Project Access
6672,University of Louisiana at Lafayette
6482,University of Louisiana at Monroe
6379,University of New Orleans
6975,Xavier University Louisiana Maine
688,Andover College
3076,Bates College
3114,Beal College
3089,Bowdoin College
3269,Bridgton Academy
3309,Central Maine Community College
3280,Colby College
3305,College of the Atlantic
3372,Eastern Maine Community College
3440,Husson University
3475,Kennebec Valley Community College
3701,Maine College of Art
3302,Maine College of Health Professions
3505,Maine Maritime Academy
5727,New England Bible College
3101,New England School of Communications
3631,Northern Maine Community College
3755,Saint Joseph’s College Maine
3535,Southern Maine Community College
3903,Thomas College
3925,Unity College in Maine
3929,University of Maine Augusta
3506,University of Maine Farmington
3393,University of Maine Fort Kent
3956,University of Maine Machias
3916,University of Maine Orono
3008,University of Maine Presque Isle
3751,University of New England
3691,University of Southern Maine
3961,Washington County Community College
3990,York County Community College Maryland
5028,Allegany College of Maryland
3709,American Association of Colleges of Osteopathic Medicine
2508,American Veterans Association
5019,Anne Arundel Community College
5738,Antietam Bible College
5696,Arlington Bible College and Institute
5131,Baltimore City Community College Harbor
5051,Baltimore City Community College Liberty
5401,Bowie State University
5101,Capitol Technology University
5797,Carroll Community College
4196,Catonsville Community College
5091,Cecil College
5143,Chesapeake College
5144,College of Southern Maryland
5137,Community College of Baltimore County
5122,Coppin State University
5176,Dundalk Community College
5230,Frederick Community College
5402,Frostburg State University
5279,Garrett College
5257,Goucher College
5290,Hagerstown Community College
5303,Harford Community College
5296,Hood College
5308,Howard Community College
6810,Johns Hopkins Carey Business School
3926,Johns Hopkins Universi School of Education
5332,Johns Hopkins Universi Undergraduate Admissions
804,Kaplan University
3056,Lincoln College of Technology
4233,Lincoln Technical Institute
5370,Loyola University Maryland
5399,Maryland Institute College of Art
5898,McDaniel College
5393,Montgomery College Germantown
5440,Montgomery College Rockville
5394,Montgomery College School of Art and Desig
5414,Montgomery College Takoma Park
5416,Morgan State Universit
5421,Mount Saint Mary’s University
3930,National Labor College
7490,Navy Recruiting District Hyattsville
839,Ner Israel Rabbinical College
5114,Notre Dame of Maryland University
5532,Peabody Conservatory of Music
5545,Prince Georges Community College
5598,Saint John’s College Maryland
5601,Saint Mary’s College Maryland
5602,Saint Mary’s Seminary and University
5403,Salisbury University
7398,Sans Technology Institute
504,Sojourner Douglass College
5856,Stevenson University
5404,Towson University
7069,UMD Institute of Applied Agriculture
5809,United States Naval Academy
5810,University of Baltimore
5814,University of Maryland
5835,University of Maryland Baltimore County
5880,University of Maryland Dental School
5400,University of Maryland Eastern Shore
6528,University of Maryland School of Nursing
551,University of Maryland University College
6755,Walden University
5890,Washington Adventist University
5884,Washington Bible College
5888,Washington College
5491,Women’s Institute of Torah Seminary
1613,Wor-Wic Community College Massachusetts
3002,American International College
3003,Amherst College
6811,Andover Newton Theological School
3005,Anna Maria College
5769,Asian University for Women
3009,Assumption College
3010,Atlantic Union College
6727,Babson College’s F.W. Olin Graduate School of Business
3075,Babson College
3795,Bard College at Simons Rock
3078,Bay Path University
3120,Bay State College
3079,Becker College Worcester Campus
3394,Benjamin Franklin Institute of Tech
3096,Bentley University
3107,Berklee College of Music
6774,Berklee Online
3102,Berkshire Community College
1168,Boston Architectural College
4323,Boston Baptist College
3083,Boston College
3087,Boston University
3092,Brandeis University
3517,Bridgewater State College
3110,Bristol Community College
3123,Bunker Hill Community College
3612,Cambridge College
3289,Cape Cod Community College
4224,Career Education  Institute
3279,Clark University
3282,College of the Holy Cross
3285,Curry College
5802,Cushing Academy
3352,Dean College
3365,Eastern Nazarene College
4218,Educational  Opportunity Center
3283,Elms College
3367,Emerson College
3368,Emmanuel College
3369,Endicott College
3391,Fisher College
3518,Fitchburg State  University
3519,Framingham State  University
3417,Gordon College
3420,Greenfield Community  College
3447,Hampshire College
3500,Harvard College  Undergrad Transfer  Admissions
4238,Harvard Medical School
3434,Harvard Undergraduate  Admissions
3435,Hebrew College
3449,Hellenic College
3437,Holyoke Community  College
3287,Laboure College
3481,Lasell College
3488,Lawrence Memorial  Regis College
6208,Le Cordon Bleu College  of Culinary Arts
3483,Lesley University
3467,Longy School of Music
3294,Massachusetts Bay  Community College
3516,Massachusetts College  of Art and Design
3521,Massachusetts College  of Liberal Arts
3512,Massachusetts College  of Pharmacy and  Health Sciences
3514,Massachusetts Institute  of Technology
3515,Massachusetts  Maritime Academy
3549,Massasoit Community  College
3525,Merrimack College
3554,Middlesex Community  College Massachusetts
4369,Min Man Regional  Vocational and Technical
9101,Montserrat College of Art
3529,Mount Holyoke College
3530,Mount Ida College
3545,Mount Wachusett  Community College
3371,National Aviation  Academy
9376,Navy Recruiting  District Cambridge
3376,New England  College of Finance
3511,New England College  of Optometry
3659,New England  Conservatory of Music
3636,New England  Institute of Art
3639,Newbury College
3666,Nichols College
4250,North Central  Educational  Opportunity Center
3651,North Shore  Community College
4999,Northeastern University School of Professional Studies
3667,Northeastern University
3674,Northern Essex Community College
3493,Northern Essex Community College Radiologic Tech
3942,Northpoint Bible College
2824,Olin College of Engineering
156,Phillips Academy
3689,Pine Manor College
3713,Quincy College
3714,Quinsigamond Community College
3723,Regis College
3740,Roxbury Community College
3295,Saint John’s Seminary
3522,Salem State University
3794,School of the Museum of Fine Arts
3112,Signature Health Care Brockton Hospital
3761,Simmons College
3762,Smith College
3763,Springfield College
3791,Springfield Technical Community College
3769,Stockbridge School
3770,Stonehill College
3771,Suffolk University
3901,Tufts University
6150,Tufts University School of Medicine
7676,Tufts University Cummings School of Veterinary Medicine
3917,University of Massachusetts Amherst
3924,University of Massachusetts Boston
3786,University of Massachusetts Dartmouth
3911,University of Massachusetts Lowell
2946,University of Massachusetts Project Reach
3630,Urban College of Boston
7929,USMC Officer Selection Station Amherst
3957,Wellesley College
3958,Wentworth Institute of Technology
3962,Western New England University
3523,Westfield State University
3963,Wheaton College
3964,Wheelock College
3965,Williams College
7670,Woods College of Advanced Studies at Boston College
5118,Worcester Academy
3969,Worcester Polytechnic Institute
3524,Worcester State University Michigan
1001,Adrian College
1007,Albion College
1010,Alma College
1011,Alpena Community College
1030,Andrews University
1018,Aquinas College
5750,Art Institute of Michigan
6588,Baker College Allen Park
1457,Baker College Auburn Hills
1381,Baker College Cadillac
6707,Baker College Center  for Graduate Studies
806,Baker College Flint
1887,Baker College Jackson
1527,Baker College Muskegon
1386,Baker College of  Clinton Township
4193,Baker College Online
5270,Baker College Owosso
1413,Baker College Port Huron
1049,Bay College
2101,Bay Mills Community  College
1095,Calvin College
1106,Central Michigan  University
1225,Charles Stewart Mott  Community College
1123,Cleary University  Livingston
1035,College for Creative  Studies
5933,Compass College of  Cinematic Arts
1094,Concordia University
1253,Cornerstone University
1183,Davenport University
7235,Davenport University  Lansing
1816,Delta College
1201,Eastern Michigan  University
1222,Ferris State University
1743,Finlandia University
1261,Glen Oaks Community  College
1250,Gogebic Community  College
809,Grace Bible College
1254,Grand Rapids  Community College
1258,Grand Valley State  University
7320,Great Lakes  Christian College
6982,Great Lakes Maritime  Academy
4328,Great Lakes University
1293,Henry Ford College
1295,Hillsdale College
1301,Hope College
1340,Jackson Community  College
1365,Kalamazoo College
1378,Kalamazoo Valley  Community College
1375,Kellogg Community  College
1376,Kendall College of Design
1246,Kettering University  (Formerly GMI Eng.  and Mgmt. Inst)
1382,Kirtland Community  College
1672,Kuyper College
1137,Lake Michigan College
1421,Lake Superior State  University
1414,Lansing Community  College
6520,Lapeer Intermediate  School District
1399,Lawrence Technological  University
1722,Macomb Community  College
1437,Madonna University
1452,Marygrove College
1505,Michigan Jewish  Institute
1465,Michigan State University
1464,Michigan Technological  University
1523,Mid-Michigan  Community College
1514,Monroe County Community College
1522,Montcalm Community College
1495,Muskegon Community College
1569,North Central Michigan College
1560,Northern Michigan University
1564,Northwestern Michigan College
1568,Northwood University Michigan
1607,Oakland Community College
1497,Oakland University
1595,Olivet College
4801,Robert B. Miller College
1516,Rochester College
1686,Sacred Heart Major Seminary
1766,Saginaw Valley State University
1628,Saint Clair County Community College
1764,Schoolcraft College
1719,Siena Heights Universit
6553,South University Novi Campus
1783,Southwestern Michigan College
1732,Spring Arbor University
1835,University of Detroit Mercy
1839,University of Michigan Ann Arbor
1861,University of Michigan Dearborn
1853,University of Michigan Flint
372,Walsh College of Accountancy and Business
1935,Washtenaw Community College
1937,Wayne County Community College
1898,Wayne State University
1941,West Shore Community College
1902,Western Michigan University
7010,Yeshiva Gedolah Minnesota
3311,Academy College
771,Alexandria Technical College
6084,Anoka Technical Colleg
6024,Anoka-Ramsey Community College
6427,Argosy University Twin Cities
2332,Art Institutes International Minnesota
6014,Augsburg College
6676,Bemidji State University
681,Bethany College of Missions
6035,Bethany Lutheran College
6038,Bethel University
7072,Bethlehem College and Seminary
1210,Brown College
3829,Capella University
6081,Carleton College
6045,Central Lakes College
6388,Century College
6104,College of Saint Benedi
6107,College of Saint Scholastica
6113,Concordia College Moorhead Minnesota
6114,Concordia University
6412,Crossroads College
6639,Crown College Minnesota
7149,Dakota County  Technical College
4758,District 279 Overall
3312,Duluth Business  University
2265,Dunwoody College  of Technology
2047,Fond Du Lac College
2296,Globe University
6253,Gustavus Adolphus  College
6265,Hamline University
6290,Hennepin Technical  College
3051,Herzing University
6275,Hibbing Community  College
3042,High-Tech Institute  Minnesota
6461,Institute of Production  & Recording
6300,Inver Hills Community  College
6309,Itasca Community  College
4294,Keller Graduate School  of Management
6352,Lake Superior College
3931,Leech Lake Tribal College
6377,Luther Northwestern  Seminary
6390,Macalester College
6435,Martin Luther College
5839,Mayo School of  Health Sciences
4194,McNally Smith  College of Music
6432,Mesabi Range  Community and Tech  College Virginia
7122,Mesabi Range  Community and  Technical Coll Eveleth
1245,Metropolitan State  University
6678,Minnesota State  University Moorhead
7126,Minneapolis  Business College
6411,Minneapolis College  of Art and Design
6434,Minneapolis Community  and Technical College
3314,Minnesota School of  Business Brooklyn Center
3313,Minnesota School of  Business Richfield
7123,Minnesota State College  Southeast Technical
2110,Minnesota State  Community and  Technical College Fe
6677,Minnesota State  University Mankato
7125,Minnesota West  Community and  Technical College  Gran Forks
6945,Minnesota West  Community and  Technical College Worth
5358,National American  University
9363,Navy Recruiting  District Minneapolis
6501,Normandale  Community College
51,North Central University
6498,North Hennepin  Community College
6500,Northland Community  and Technical College
3626,Northwest Technical  College
6516,Northwestern Health  Sciences University
7247,Oak Hills Christian College
7118,Pine Technical College
6613,Rainy River Community College
1637,Rainy River Community College International Falls
2449,Rasmussen Business College Eagan
2448,Rasmussen College
6730,Rasmussen College Brooklyn Park
2453,Rasmussen College Mankato
3315,Rasmussen College Saint Cloud
4924,Ridgewater College
6017,Riverland Community College
6610,Rochester Community and Technical College
6679,Saint Cloud State University
1986,Saint Cloud Technical College
6624,Saint John’s University
6632,Saint Mary’s University of Minnesota
6638,Saint Olaf College
534,Saint Paul College Community and Technical College
7124,South Central Technical College
6703,Southwest Minnesota State University
6105,St. Catherine University
6701,St. Catherine University Minneapolis
6893,University of Minnesota Crookston
6873,University of Minnesota Duluth
6890,University of Minnesota Morris
5877,University of Minnesota Rochester
4397,University of Minnesota School of Dentistry
6874,University of Minnesota Twin Cities
6489,University of Northwestern St. Paul
6110,University of Saint Thomas Minnesota
6194,Vermilion Community College
6680,Winona State University Mississippi
1008,Alcorn State University
3193,Antonelli College
3195,Antonelli College Hattiesburg
1055,Belhaven University
1066,Blue Mountain College
1126,Coahoma Community College
1142,Copiah-Lincoln Community College
1163,Delta State University
1196,East Central Community College
1197,East Mississippi Community College
1296,Hinds Community College
1858,Hinds Community College Utica
1299,Holmes Community College
1326,Itawamba Community College
1341,Jackson State University
1347,Jones County Junior College
162,Magnolia Bible College
1461,Meridian Community College
1471,Millsaps College
1477,Mississippi College
1742,Mississippi Delta Community College
1353,Mississippi Gulf Coast Community College Jefferson Davis
1354,Mississippi Gulf Coast Community College Gautier
1623,Mississippi Gulf Coast Community College Perkinston
1480,Mississippi State University
1481,Mississippi University for Women
1482,Mississippi Valley State University
1557,Northeast Mississippi Community College
1562,Northwest Mississippi Community College
1622,Pearl River Community College
1669,Rust College
1781,Southeastern Baptist College
1729,Southwest Mississippi Community College
1807,Tougaloo College
1840,University of Mississippi
358,University of Mississippi Medical Center
1479,University of Southern Mississippi
1907,William Carey University Missouri
6109,Avila University
991,Baptist Bible College Missouri
6329,Barnes Jewish College Goldfarb School of Nursing
6060,Blue River Community College
6331,Calvary Bible College
6145,Central Christian College of the Bible
6089,Central Methodist University
3139,Chamberlain College of Nursing
5920,City Vision University
6453,College Bound St. Louis
6713,College of the Ozarks
6095,Columbia College Mo
6112,Conception Seminary College
3126,Concorde Career Institute
6120,Cottey College
6123,Culver-Stockton College
6169,Drury University
6198,Evangel University
6216,Fontbonne University
4916,Global University Systems (ICI/Berean)
2244,Grantham University
6266,Hannibal-Lagrange University
6269,Harris-Stowe State University
2308,Hickey College
6320,Jefferson College
6330,Kansas City Art Institute
3932,Lester L. Cox College of Nursing and Health Science
6366,Lincoln University Missouri
6367,Lindenwood University
4965,Logan University  College of Chiropractic
6359,Longview Community  College
120,Lulac Educational  Service Center
6399,Maryville University  Saint Louis
3316,Metro Business College  Cape Giradeau
3318,Metro Business College  Jefferson City
3317,Metro Business  College Rolla
6436,Metropolitan Community  College Maple Woods
6324,Metropolitan  Community College  Penn Valley Campus
6441,Midwestern Baptist  Theological Seminary
6323,Mineral Area College
3848,Missouri Academy of  Science Mathematics  and Computing
2258,Missouri Baptist  University
3074,Missouri College
6322,Missouri Southern  State College
6665,Missouri State  University Springfield
6662,Missouri State University  West Plains Campus
6876,Missouri University of  Science and Technology
6413,Missouri Valley College
6625,Missouri Western  State University
6414,Moberly Area  Community College
5357,National College  Kansas City
9366,Navy Recruiting  District St. Louis
6830,North Central  Missouri College
6488,Northwest Missouri  State University
6542,Ozark Christian College
2583,Ozarks Technical  Community College
6574,Park University
2271,Pinnacle Career Institute
7028,Ranken Technical College
6611,Rockhurst University
6612,Rockhurst University  Research College  of Nursing
168,Saint Charles  Community College
334,Saint Louis Christian  College
6626,Saint Louis College  of Pharmacy
6225,Saint Louis Community  College Florissant Valley
6430,Saint Louis Community  College Meramec
6629,Saint Louis University  Missouri
7127,Saint Luke’s College  of Health Sciences
3320,Sanford-Brown  College Des Peres
3321,Sanford-Brown  College Hazelwood
3322,Sanford-Brown College  North Kansas City
3323,Sanford-Brown  College Saint Peters
4459,Southeast Missouri  Hospital College of  Nursing & Health  Sciences
6655,Southeast Missouri  State University
6664,Southwest Baptist  University
1478,Springfield College
5467,St. Louis Community College at Wildwood
6226,St. Louis Community College Forest Park
6709,State Fair Community College
6683,Stephens College
3319,Stevens Institute of Business and Arts
6836,Three Rivers Community College
6483,Truman State Universit
6090,University of Central Missouri
6875,University of Missouri Columbia
6872,University of Missouri Kansas City
6889,University of Missouri Saint Louis
