number,school
3895,Bethesda Christian University
4017,Biola University
6791,Brandman University
4228,Brooks Institute
4226,Butte College
4084,Cabrillo College
4357,California American University
4094,California Baptist University
4123,California Christian College
4031,California College of the Arts
3354,California College San Diego
2209,California Culinary Academy
3609,California Institute of Integral Studies
4034,California Institute  of Technology
4049,California Institute  of the Arts
4088,California Lutheran  University
4035,California Maritime  Academy
6458,California Miramar  University
3894,California National  University Advanced  Studies
7669,California Northstate  University College  of Health Sciences
7306,California Northstate  University College  of Pharmacy
4038,California Polytechnic  State University San Lui
4082,California State  Polytechnic  University Pomona
4110,California State  University Bakersfield
4128,California State  University Channel  Islands
4048,California State  University Chico
4098,California State  University  Dominguez Hills
2602,California State  University Dominguez  Hills EOP
4011,California State  University East Bay
4312,California State  University Fresno
4589,California State  University Fullerton
4389,California State  University Long Beach
4399,California State  University Los Angeles
3594,California State  University Mentor
1945,California State  University Monterey Ba
4707,California State  University Northridge
4671,California State  University Sacramento
4099,California State  University San  Bernardino
5677,California State  University San Marcos
4713,California State  University Stanislaus
5982,Calvary Chapel  Bible College
4109,Canada College
4083,Cerritos College
4027,Cerro Coso  Community College
4725,Chabot College
4046,Chaffey College
6736,Chamberlain College  of Nursing
4047,Chapman University
4982,Charles R. Drew  University Medicine  Science
4051,Citrus College
4052,City College of  San Francisco
4054,Claremont McKenna  College
4095,Claretian Junior Semina
7973,Clovis Community Colle
933,Coastline Community  College
4057,Cogswell Polytechnical  College
955,Coleman College
4118,College of Alameda
4061,College of Marin
4070,College of San Mateo
4117,College of the Canyons
4085,College of the Desert
4100,College of the Redwoods
4071,College of the Sequoias
4087,College of the Siskiyous
9525,College Track
4108,Columbia College  Columbia California
1247,Columbia College  Hollywood California
5781,Community  Christian College
4078,Compton Community  College
2238,Concorde Career  Institute
4069,Concordia University
4943,Contra Costa College
3889,Copper Mountain College
4121,Cosumnes River College
4126,Crafton Hills College
4101,Cuesta College
4104,Cypress College
1285,D-Q University
4286,De Anza College
1963,Defense Language  Institute
3492,Design Institute  of San Diego
520,DeVry University  Fremont
5994,DeVry University Fresno
1934,DeVry University  Long Beach
4214,DeVry University Pomona
6585,DeVry University  San Diego
2800,DeVry University  Sherman Oaks
4282,Dharma Realm  Buddhist University
4295,Diablo Valley College
4284,Dominican University  of California
4296,East Los Angeles College
4302,El Camino College
4275,Empire College  School of Business
5747,Enterprise for High  School Students
4273,Evergreen Valley College
2948,Fashion Institute  of Design and  Merchandising
4457,Fashion Institute  of Design and  Merchandising  Los Angeles
2949,Fashion Institute  of Design and  Merchandising San Diego
4988,Fashion Institute  of Design and  Merchandising  San Francisco
4318,Feather River College
4462,Folsom Lake College
4315,Foothill College
3007,Fremont College
4311,Fresno City College
4616,Fresno Pacific University
4314,Fullerton College
4678,Gavilan College
4327,Glendale Community  College California
4329,Golden Gate University
3695,Golden State  Baptist College
4339,Golden West College
3495,Golf Academy  of San Diego
4334,Grossmont  Community College
4340,Hartnell College
4341,Harvey Mudd College
1344,Hebrew Union  College California
4059,Holy Names University
4614,Hope International  University
7754,Hult International  Business School
4345,Humboldt State  University
4346,Humphreys College
4358,Imperial Valley College
2318,Interior Designers  Institute
7236,International Institute  of San Francisco
7682,International Sports  Science Association
3356,Irvine Valley College
1362,John F. Kennedy  University
4576,John Paul the Great  Catholic University
3461,Kaplan College
4380,La Sierra University
7248,Laguna College of  Art and Design
4420,Lake Tahoe  Community College
4406,Laney College  Undergraduate
6507,Las Positas College
4383,Lassen College
7422,Le Cordon Bleu  College of Culinary  Arts Los Angeles
4264,Life Pacific College
4386,Lincoln University
4388,Long Beach City College
4391,Los Angeles City College
4405,Los Angeles County  College of Nursing  & Allied Health
7410,Los Angeles Film School
4395,Los Angeles  Harbor College
4404,Los Angeles  Mission College
4398,Los Angeles  Pierce College
4409,Los Angeles  Southwest College
4400,Los Angeles Trade  Technical College
5546,Los Angeles  Valley College
4396,Los Medanos College
4403,Loyola Marymount  University
3064,Maric College San Diego
4515,Marymount California  University
4411,Masters University
4517,Mendocino College
4483,Menlo College
4500,Merced College
4502,Merritt College
4485,Mills College
4582,Mira Costa College
7587,Mission College
7607,Mission Language &  Vocational School Inc.
3085,Modern Technology  College
4507,Monterey Institute  International Studies
4490,Monterey Peninsula  College
4512,Moorpark College
6512,Moreno Valley College
4493,Mount Saint  Mary’s College
4520,Mount Saint Mary’s  College Doheny
4501,Mount San Jacinto  College
3090,Mount Sierra College
3543,MTI College
107,Musicians Institute
4530,Napa Valley College
4593,National Hispanic  University
470,National University
1243,National University  Polytechnic Institute
9350,Navy Recruiting  District Los Angeles
9351,Navy Recruiting  District San Diego
3877,New Charter University
2419,New School of  Architecture and Design
6513,New York Film Academy  Los Angeles
6503,Norco College
4335,Northwestern  Policy University
4063,Notre Dame de  Namur University
4581,Occidental College
